response,labels
"MINIMUM
CPU: Intel Core i3-7100
GPU: NVIDIA GeForce GTX 750Ti(2GB)
RAM: 4 GB
VRAM: -



RECOMMENDED
CPU: Intel Core i5-7500
GPU: NVIDIA GeForce GTX 1060 (3GB)
RAM: 8 GB
VRAM: -",1
"MINIMUM
CPU: AMD FX 4350 or Equivalent/Intel Core i3 6300 or Equivalent 
GPU: AMD Radeonï¿½ HD 7730/NVIDIA GeForceï¿½ GT 640 
RAM: 6GB ï¿½ DDR3 @1333 
VRAM: -



RECOMMENDED
CPU: Ryzen 5 CPU or Equivalent/Intel Core i5 3570K or Equivalent 
GPU: AMD Radeonï¿½ R9 290/NVIDIA GeForceï¿½ GTX 970 
RAM: 8GB ï¿½ DDR3 @1333 
VRAM: -",2
"MINIMUM
CPU: Intel Dual-Core 2.4 GHz/AMD Dual-Core Athlon 2.5 GHz. 
GPU: NVIDIA GeForce 9800GT/AMD Radeon HD 5670 
RAM: 4 GB 
VRAM: -



RECOMMENDED
CPU: Intel Core i5-4460/AMD FX 4300 or better 
GPU: NVIDIA GeForce GTX 660/AMD Radeon HD 7800 Series 
RAM: 6 GB 
VRAM: 2 GB",0
"MINIMUM
CPU: Ryzen 3 1200 - 3.1 Ghz / Core i5-4460 - 3.2 Ghz 
GPU: AMD Radeon R9 380 or NVIDIA GeForce GTX 960 or better 
RAM: 8 GB 
VRAM: 4GB



RECOMMENDED
CPU: Intel Core i7-4790 4-Core 3.6GHz / AMD Ryzen R5 1600 
GPU: AMD Radeon RX 570 8GB or NVIDIA GeForce GTX 1060 
RAM: 8GB 
VRAM: 6 GB",3
"MINIMUM
CPU: AMD Athlon X2 2.8 GHZ/Intel Core 2 Duo 2.4 GHZ 
GPU: AMD Radeon HD 6450/Nvidia GeForce GT 460 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: AMD Six-Core CPU/Intel Quad-Core CPU 
GPU: AMD Radeon 290x/Nvidia GeForce GTX 970 
RAM: 6 GB 
VRAM: -",4
"MINIMUM
CPU: Intel Core Duo, 2.4 GHz/AMD Athlon X2, 2.8 GHz 
GPU: NVIDIA GeForce 8800 GTS/AMD Radeon 3850 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: Intel Core i5 750, 2.67 GHz/AMD Phenom II X4 965, 3.4 GHz 
GPU: NVIDIA GeForce GTX 560/AMD Radeon HD 6950 
RAM: 4 GB 
VRAM: -",5
"MINIMUM
CPU: Core i5 6600K / AMD FX-8350 
GPU: AMD Radeon HD 7850 / nVidia GeForce GTX 660 
RAM: 8 GB 
VRAM: 2 GB



RECOMMENDED
CPU: Intel Core i7 4790 / AMD Ryzen 3 1300X or equivalent 
GPU: AMD Radeon RX 580 / 6GB NVIDIA GeForce GTX 1060 
RAM: 12 GB 
VRAM: 8GB",6
"MINIMUM
CPU: Intel Core 2 DUO 2.4 GHz / AMD Athlon X2 2.7 GHz 
GPU: ATI Radeon HD 3870 / NVIDIA 8800 GT / Intel HD 3000 Integrated Graphics 
RAM: 2 GB 
VRAM: -



RECOMMENDED
CPU: Quad Core Processor 
GPU: AMD Radeon HD 6950 / NVIDIA GeForce GTX 560 
RAM: 4 GB 
VRAM: -",7
"MINIMUM
CPU: AMD FX-8350 or Intel i5-3570 
GPU: NVIDIA GeForce GTX 680 / AMD Radeon HD 7970 
RAM: 6 GB 
VRAM: -



RECOMMENDED
CPU: AMD Ryzen 5 2600 or Intel i7-4770 
GPU: NVIDIA GeForce GTX 1060 / AMD Radeon RX 590 
RAM: 16 GB 
VRAM: -",8
"MINIMUM
CPU: Intel i3 2120 @ 3.3GHz or Phenom II X4 965 @ 3.40GHz 
GPU: NVidia GTS 450 or ATI Radeon HD 5750 
RAM: 4 GB 
VRAM: -



RECOMMENDED
CPU: Intel i5 3570K or AMD Ryzen 3 1300X 
GPU: Nvidia GTX 750 Ti or AMD Radeon R7 265 
RAM: 8 GB 
VRAM: -",9
